RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
9 Φεβρουαρίου 2022 ΤΕΥΧΟΣ   ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 235482/21    Έγκριση της υπ’ αρ. 5/2020 απόφασης του Διοι-κητικού Συμβουλίου του Ν.Π.Δ.Δ. με την επωνυ-μία «Δημοτικό Λιμενικό Ταμείο Ανατολικής Μά-νης» Δήμου Ανατολικής Μάνης Νομού Λακωνίας που αφορά στην κατάρτιση του Οργανισμού Εσωτερικής Υπηρεσίας του.,Non-RespA
Ο ΣΥΝΤΟΝΙΣΤΗΣ,Non-RespA
ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ,Non-RespA
ΠΕΛΟΠΟΝΝΗΣΟΥ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,Non-RespA
ΚΑΙ ΙΟΝΙΟΥ,Non-RespA
Έχοντας υπόψη:,Non-RespA
1. Τις διατάξεις του ν. 3852/2010 «Νέα Αρχιτεκτονική της Αυτοδιοίκησης και της Αποκεντρωμένης Διοίκησης - Πρόγραμμα Καλλικράτης» (Α’ 87) και ιδίως των άρθρων 103 και 280.,Non-RespA
2. Τις διατάξεις του άρθρου 8 του π.δ. 139/2010 «Οργα-νισμός της Αποκεντρωμένης Διοίκησης Πελοποννήσου Δυτικής Ελλάδας και Ιονίου» (Α’ 232).,Non-RespA
3. Τις διατάξεις των άρθρων 28 και 28Α του ν. 4325/2015 «Εκδημοκρατισμός της Διοίκησης - Καταπολέμησης Γρα-φειοκρατίας και Ηλεκτρονική Διακυβέρνηση. Αποκατά-σταση αδικιών και άλλες διατάξεις» (Α’ 47).,Non-RespA
4. Την υπ’ αρ. 15870/15.5.2017 (ΥΟΔΔ 250) απόφαση του Υπουργού Εσωτερικών αναφορικά με το διορισμό Συντονιστή στην Αποκεντρωμένη Διοίκηση Πελοπον-νήσου Δυτικής Ελλάδας και Ιονίου.,Non-RespA
