,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
0,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,0,12,5,1,4,0,1,Non-Org,5,0,0,0,1,0,0,"β) Παρακολουθεί την εφαρμογή της κυβερνητικής πολιτικής και παρεμβαίνει όταν παρουσιάζεται έλλειμμα 
ισότητας κατά την άσκηση των πολιτικών και την υλοποίηση των δράσεων ίσων ευκαιριών.",185,RespA,Β ΠΑΡΑΚΟΛΟΥΘ ΕΦΑΡΜΟΓ ΚΥΒΕΡΝΗΤ ΠΟΛΙΤ ΠΑΡΕΜΒΑΙΝ ΠΑΡΟΥΣΙΑΖ ΕΛΛΕΙΜΜ ΙΣΟΤΗΤ ΑΣΚΗΣ ΠΟΛΙΤ ΥΛΟΠΟΙΗΣ ΔΡΑΣ ΙΣ ΕΥΚΑΙΡΙΩΝ.,110,84,562,42,0.3818181818,RespA,5,1,4,0
1,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,0,9,5,0,5,0,0,Non-Org,0,0,0,0,1,0,0,"γ) Σχεδιάζει και συντονίζει νομοθετικές και διοικητικές πρωτοβουλίες σχετικές με πολιτικές ισότητας των 
δύο φύλων.",115,RespA,Γ ΣΧΕΔΙΑΖ ΣΥΝΤΟΝΙΖ ΝΟΜΟΘΕΤ ΔΙΟΙΚΗΤ ΠΡΩΤΟΒΟΥΛ ΣΧΕΤ ΠΟΛΙΤ ΙΣΟΤΗΤ ΔΥΟ ΦΥΛΩΝ.,73,37,273,37,0.5068493151,RespA,5,0,5,0
2,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,9,8,6,0,6,0,0,Non-Org,0,0,0,0,1,0,0,"δ) Αναπτύσσει, μελετά και συντονίζει δράσεις που 
προωθούν την Ισότητα ανδρών και γυναικών.",91,RespA,Δ ΑΝΑΠΤΥΣΣ ΜΕΛΕΤ ΣΥΝΤΟΝΙΖ ΔΡΑΣ ΠΡΟΩΘ ΙΣΟΤΗΤ ΑΝΔΡ ΓΥΝΑΙΚΩΝ.,58,112,548,32,0.5517241379,RespA,6,0,6,1
3,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,22,9,6,0,6,0,0,Non-Org,0,0,0,0,1,0,0,"ε) Ορίζει νέες κατευθυντήριες γραμμές για τη μελέτη 
και την ενθάρρυνση ανάληψης προγραμμάτων και την 
υλοποίηση πρωτοβουλιών, με στόχο την προώθηση της 
Ισότητας.",163,RespA,Ε ΟΡΙΖ ΝΕ ΚΑΤΕΥΘΥΝΤΗΡ ΓΡΑΜΜ ΜΕΛΕΤ ΕΝΘΑΡΡΥΝΣ ΑΝΑΛΗΨ ΠΡΟΓΡΑΜΜ ΥΛΟΠΟΙΗΣ ΠΡΩΤΟΒΟΥΛ ΣΤΟΧ ΠΡΟΩΘΗΣ ΙΣΟΤΗΤΑΣ.,101,140,869,39,0.3861386139,RespA,6,0,6,1
4,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,10,8,2,1,1,0,1,Non-Org,5,0,0,0,1,0,0,"στ) Οργανώνει και συντονίζει κεντρικούς και τοπικούς 
φορείς σε θέματα Ισότητας.",80,RespA,ΣΤ ΟΡΓΑΝΩΝ ΣΥΝΤΟΝΙΖ ΚΕΝΤΡ ΤΟΠ ΦΟΡ ΘΕΜ ΙΣΟΤΗΤΑΣ.,47,9,69,15,0.3191489362,RespA,2,1,1,1
5,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,33,16,9,3,6,0,0,Non-Org,0,0,0,0,1,0,0,"θ) Προετοιμάζει τον στρατηγικό σχεδιασμό στα θέματα ισότητας για τις προγραμματικές περιόδους ενίσχυσης της χώρας από ευρωπαϊκούς πόρους, συντονίζει 
και παρακολουθεί τις διαδικασίες που αφορούν στην 
οργάνωση και στην χρήση των πόρων των Διαρθρωτικών Ταμείων σε θέματα Ισότητας.",279,RespA,Θ ΠΡΟΕΤΟΙΜΑΖ ΣΤΡΑΤΗΓ ΣΧΕΔΙΑΣΜ ΘΕΜ ΙΣΟΤΗΤ ΠΡΟΓΡΑΜΜΑΤ ΠΕΡΙΟΔ ΕΝΙΣΧΥΣ ΧΩΡ ΕΥΡΩΠΑΙΚ ΠΟΡ ΣΥΝΤΟΝΙΖ ΠΑΡΑΚΟΛΟΥΘ ΔΙΑΔΙΚΑΣ ΑΦΟΡ ΟΡΓΑΝΩΣ ΧΡΗΣ ΠΟΡ ΔΙΑΡΘΡΩΤ ΤΑΜΕΙ ΘΕΜ ΙΣΟΤΗΤΑΣ.,163,86,643,81,0.4969325153,RespA,9,3,6,3
6,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,12,15,5,1,4,0,0,Non-Org,0,0,0,0,1,0,0,"ι) Προωθεί τη συνεργασία μεταξύ εθνικών, περιφερειακών και τοπικών κυβερνητικών και άλλων Φορέων και 
εθνικών ή διεθνών Οργανώσεων για θέματα Ισότητας.",151,RespA,Ι ΠΡΟΩΘ ΣΥΝΕΡΓΑΣ ΕΘΝ ΠΕΡΙΦΕΡΕΙΑΚ ΤΟΠ ΚΥΒΕΡΝΗΤ ΦΟΡ ΕΘΝ ΔΙΕΘΝ ΟΡΓΑΝΩΣ ΘΕΜ ΙΣΟΤΗΤΑΣ.,81,110,847,43,0.5308641975,RespA,5,1,4,3
7,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,0,9,4,0,4,0,0,Non-Org,0,0,0,0,1,0,0,"ια) Παρέχει τεχνογνωσία σε φορείς, που υλοποιούν 
δράσεις και προγράμματα ισότητας των φύλων.",93,RespA,ΙΑ ΠΑΡΕΧ ΤΕΧΝΟΓΝΩΣ ΦΟΡ ΥΛΟΠΟΙ ΔΡΑΣ ΠΡΟΓΡΑΜΜ ΙΣΟΤΗΤ ΦΥΛΩΝ.,57,51,238,24,0.4210526316,RespA,4,0,4,0
8,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,9,9,2,1,1,0,0,Non-Org,0,0,0,0,1,0,0,"ιβ) Διαχειρίζεται και υλοποιεί έργα, που αφορούν στα 
θέματα Ισότητας.",70,RespA,ΙΒ ΔΙΑΧΕΙΡΙΖ ΥΛΟΠΟΙ ΕΡΓ ΑΦΟΡ ΘΕΜ ΙΣΟΤΗΤΑΣ.,42,8,69,17,0.4047619048,RespA,2,1,1,1
9,0,0,0,1,1,NoIdea,0,0,20080100017.pdf,0,0,12,9,1,8,0,0,Non-Org,0,0,0,0,1,0,0,"ιγ) Επιχορηγεί, ενισχύει και ενθαρρύνει κάθε είδους 
πρωτοβουλίες, δραστηριότητες, καθώς και τοπικούς, 
κοινωνικούς και λοιπούς φορείς και μη κυβερνητικές 
οργανώσεις, που στόχο έχουν την προώθηση της ισότητας μεταξύ γυναικών και ανδρών.",237,RespA,ΙΓ ΕΠΙΧΟΡΗΓ ΕΝΙΣΧΥ ΕΝΘΑΡΡΥΝ ΕΙΔ ΠΡΩΤΟΒΟΥΛ ΔΡΑΣΤΗΡΙΟΤΗΤ ΤΟΠ ΚΟΙΝΩΝ ΛΟΙΠ ΦΟΡ ΚΥΒΕΡΝΗΤ ΟΡΓΑΝΩΣ ΣΤΟΧ ΠΡΟΩΘΗΣ ΙΣΟΤΗΤ ΓΥΝΑΙΚ ΑΝΔΡΩΝ.,126,129,984,67,0.5317460317,RespA,9,1,8,0
