,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
283,0,0,0,0,1,NoIdea,0,0,20080100049.pdf,0,22,14,9,1,8,0,0,Non-Org,0,0,0,0,0,0,0,"Η ανάπτυξη και η προαγωγή της επιστημονικής έρευνας, της τεχνολογίας και της καινοτομίας, ως τομέων 
ζωτικού εθνικού ενδιαφέροντος, αποτελεί υποχρέωση 
του Κράτους, το οποίο και μεριμνά για τη διάθεση των 
απαιτούμενων πόρων για το σκοπό αυτόν.",244,RespA,Η ΑΝΑΠΤΥΞ ΠΡΟΑΓΩΓ ΕΠΙΣΤΗΜΟΝ ΕΡΕΥΝ ΤΕΧΝΟΛΟΓ ΚΑΙΝΟΤΟΜ ΤΟΜ ΖΩΤ ΕΘΝ ΕΝΔΙΑΦΕΡΟΝΤ ΑΠΟΤΕΛ ΥΠΟΧΡΕΩΣ ΚΡΑΤ ΜΕΡΙΜΝ ΔΙΑΘΕΣ ΑΠΑΙΤΟΥΜΕΝ ΠΟΡ ΣΚΟΠ ΑΥΤΟΝ.,137,104,759,77,0.5620437956,RespA,9,1,8,1
284,0,0,0,0,2,NoIdea,0,0,20080100049.pdf,0,2,5,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,"Ορισμοί
Για την εφαρμογή των διατάξεων του παρόντος νόμου 
νοούνται:",68,Non-RespA,ΟΡΙΣΜ ΕΦΑΡΜΟΓ ΔΙΑΤΑΞ ΠΑΡΟΝΤ ΝΟΜ ΝΟ,34,3,15,5,0.1470588235,RespA,1,0,1,1
285,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,3,9,7,0,7,0,0,Non-Org,0,0,0,0,1,0,0,"β) «Βασική έρευνα»: Η πρωτότυπη θεωρητική ή πειραματική εργασία ελεύθερης επιλογής που διενεργείται 
πρωταρχικά με σκοπό την απόκτηση νέας γνώσης των 
υποκειμένων αιτίων και της θεμελίωσης των φαινομένων 
και των παρατηρήσιμων γεγονότων, ανεξάρτητα από τη 
δυνατότητα άμεσης πρακτικής εφαρμογής της.",299,Non-RespA,Β ΒΑΣΙΚ ΕΡΕΥΝ ΠΡΩΤΟΤΥΠ ΘΕΩΡΗΤ ΠΕΙΡΑΜΑΤ ΕΡΓΑΣ ΕΛΕΥΘΕΡ ΕΠΙΛΟΓ ΔΙΕΝΕΡΓΕΙΤΑ ΠΡΩΤΑΡΧ ΣΚΟΠ ΑΠΟΚΤΗΣ ΝΕ ΓΝΩΣ ΥΠΟΚΕΙΜΕΝ ΑΙΤ ΘΕΜΕΛΙΩΣ ΦΑΙΝΟΜΕΝ ΠΑΡΑΤΗΡΗΣΙΜ ΓΕΓΟΝ ΑΝΕΞΑΡΤΗΤ ΔΥΝΑΤΟΤΗΤ ΑΜΕΣ ΠΡΑΚΤ ΕΦΑΡΜΟΓ ΤΗΣ.,194,42,246,45,0.2319587629,RespA,7,0,7,1
286,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,3,11,4,0,4,0,0,Non-Org,0,0,0,0,1,0,0,"γ) «Εφαρμοσμένη έρευνα»: Η πρωτότυπη θεωρητική 
ή πειραματική εργασία που διενεργείται πρωταρχικά 
με σκοπό την επίτευξη συγκεκριμένου πρακτικού αποτελέσματος.",159,Non-RespA,Γ ΕΦΑΡΜΟΣΜΕΝ ΕΡΕΥΝ ΠΡΩΤΟΤΥΠ ΘΕΩΡΗΤ ΠΕΙΡΑΜΑΤ ΕΡΓΑΣ ΔΙΕΝΕΡΓΕΙΤΑ ΠΡΩΤΑΡΧ ΣΚΟΠ ΕΠΙΤΕΥΞ ΣΥΓΚΕΚΡΙΜΕΝ ΠΡΑΚΤ ΑΠΟΤΕΛΕΣΜΑΤΟΣ.,115,35,205,28,0.2434782609,RespA,4,0,4,1
287,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,3,11,8,0,8,0,0,Non-Org,0,0,0,0,1,0,0,"δ) «Τεχνολογική έρευνα»: Οι συστηματικές εργασίες 
που βασίζονται σε υπάρχουσες γνώσεις και αποσκοπούν 
στην προεργασία για την παραγωγή νέων υλικών, προϊόντων ή διατάξεων, την κατάρτιση νέων διαδικασιών, 
συστημάτων ή υπηρεσιών ή την ουσιαστική βελτίωση 
αυτών που υπάρχουν, για συγκεκριμένες εφαρμογές.",304,Non-RespA,Δ ΤΕΧΝΟΛΟΓ ΕΡΕΥΝ ΣΥΣΤΗΜΑΤ ΕΡΓΑΣ ΒΑΣΙΖ ΥΠΑΡΧ ΓΝΩΣ ΑΠΟΣΚΟΠ ΠΡΟΕΡΓΑΣ ΠΑΡΑΓΩΓ ΝΕ ΥΛ ΠΡΟΙΟΝΤ ΔΙΑΤΑΞ ΚΑΤΑΡΤΙΣ ΝΕ ΔΙΑΔΙΚΑΣ ΣΥΣΤΗΜ ΥΠΗΡΕΣ ΟΥΣΙΑΣΤ ΒΕΛΤΙΩΣ ΥΠΑΡΧ ΣΥΓΚΕΚΡΙΜΕΝ ΕΦΑΡΜΟΓΕΣ.,174,109,808,61,0.3505747126,RespA,8,0,8,1
288,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,5,10,5,0,5,0,0,Non-Org,0,0,0,0,1,0,0,"ε) «Ανάπτυξη πρωτότυπων πειραματικών συστημάτων»: Η συστηματική εργασία που κατευθύνεται στην 
παραγωγή νέων υλικών, προϊόντων ή διατάξεων για 
την εγκατάσταση νέων διαδικασιών, συστημάτων και 
υπηρεσιών ή για την ουσιαστική βελτίωση αυτών που 
ήδη έχουν παραχθεί ή εγκατασταθεί.",279,Non-RespA,Ε ΑΝΑΠΤΥΞ ΠΡΩΤΟΤΥΠ ΠΕΙΡΑΜΑΤ ΣΥΣΤΗΜ ΣΥΣΤΗΜΑΤ ΕΡΓΑΣ ΚΑΤΕΥΘΥΝ ΠΑΡΑΓΩΓ ΝΕ ΥΛ ΠΡΟΙΟΝΤ ΔΙΑΤΑΞ ΕΓΚΑΤΑΣΤΑΣ ΝΕ ΔΙΑΔΙΚΑΣ ΣΥΣΤΗΜ ΥΠΗΡΕΣ ΟΥΣΙΑΣΤ ΒΕΛΤΙΩΣ ΗΔΗ ΠΑΡΑΧΘ ΕΓΚΑΤΑΣΤΑΘΕΙ.,165,58,499,39,0.2363636364,RespA,5,0,5,1
289,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,2,8,6,0,6,0,1,Non-Org,8,0,0,0,1,0,0,"στ) «Τεχνολογική Καινοτομία»: Η μετατροπή μιας ιδέας 
σε νέο ή βελτιωμένο αξιοποιήσιμο προϊόν, σε βιομηχανική ή εμπορική λειτουργική διαδικασία ή σε νέα μέθοδο 
κοινωνικής εξυπηρέτησης.",185,Non-RespA,ΣΤ ΤΕΧΝΟΛΟΓ ΚΑΙΝΟΤΟΜ ΜΕΤΑΤΡΟΠ ΙΔΕ ΝΕ ΒΕΛΤΙΩΜΕΝ ΑΞΙΟΠΟΙΗΣΙΜ ΠΡΟΙ ΒΙΟΜΗΧΑΝ ΕΜΠΟΡ ΛΕΙΤΟΥΡΓ ΔΙΑΔΙΚΑΣ ΝΕ ΜΕΘΟΔ ΚΟΙΝΩΝ ΕΞΥΠΗΡΕΤΗΣΗΣ.,126,72,459,38,0.3015873016,RespA,6,0,6,2
290,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,3,16,7,2,5,0,0,Non-Org,0,0,0,0,1,0,0,"ζ) «Τεχνολογική ανάπτυξη»: Η ανάπτυξη και μεταφορά 
τεχνολογίας και τεχνογνωσίας, που αποσκοπούν στην 
ανάπτυξη της χώρας, με την εφαρμογή μελετών και 
ερευνητικών προγραμμάτων και τη λήψη των αναγκαίων 
νομοθετικών, κανονιστικών και διοικητικών μέτρων.",253,Non-RespA,Ζ ΤΕΧΝΟΛΟΓ ΑΝΑΠΤΥΞ ΑΝΑΠΤΥΞ ΜΕΤΑΦΟΡ ΤΕΧΝΟΛΟΓ ΤΕΧΝΟΓΝΩΣ ΑΠΟΣΚΟΠ ΑΝΑΠΤΥΞ ΧΩΡ ΕΦΑΡΜΟΓ ΜΕΛΕΤ ΕΡΕΥΝΗΤ ΠΡΟΓΡΑΜΜ ΛΗΨ ΑΝΑΓΚΑΙ ΝΟΜΟΘΕΤ ΚΑΝΟΝΙΣΤ ΔΙΟΙΚΗΤ ΜΕΤΡΩΝ.,149,87,571,64,0.4295302013,RespA,6,2,4,1
291,0,0,0,1,2,NoIdea,0,0,20080100049.pdf,0,2,20,5,1,4,0,0,Non-Org,0,0,0,0,1,0,0,"η) «Έργο»: Η σχεδιασμένη δραστηριότητα έρευνας με 
συγκεκριμένο αντικείμενο, μεθοδολογία, χρονοδιάγραμμα εκτέλεσης και προϋπολογισμό δαπανών.",141,Non-RespA,Η ΕΡΓ ΣΧΕΔΙΑΣΜΕΝ ΔΡΑΣΤΗΡΙΟΤΗΤ ΕΡΕΥΝ ΣΥΓΚΕΚΡΙΜΕΝ ΑΝΤΙΚΕΙΜΕΝ ΜΕΘΟΔΟΛΟΓ ΧΡΟΝΟΔΙΑΓΡΑΜΜ ΕΚΤΕΛΕΣ ΠΡΟΥΠΟΛΟΓΙΣΜ ΔΑΠΑΝΩΝ.,112,56,575,58,0.5178571429,RespA,5,1,4,1
292,0,0,0,0,2,NoIdea,0,0,20080100049.pdf,0,0,9,4,0,4,0,0,Non-Org,0,0,0,0,0,0,0,"θ2) «Μελέτη»: είναι η συλλογή και ταξινόμηση στοιχείων που προορίζονται για χρήση από επιστημονικούς, 
κοινωνικούς ή κρατικούς φορείς.",134,Non-RespA,Θ2 ΜΕΛΕΤ ΣΥΛΛΟΓ ΤΑΞΙΝΟΜΗΣ ΣΤΟΙΧΕΙ ΠΡΟΟΡΙΖ ΧΡΗΣ ΕΠΙΣΤΗΜΟΝ ΚΟΙΝΩΝ ΚΡΑΤ ΦΟΡΕΙΣ.,76,96,573,29,0.3815789474,RespA,4,0,4,0
