,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
1938,0,0,0,0,1,NoIdea,0,0,20080100086.pdf,0,2,14,6,2,4,0,1,Non-Org,6,0,0,0,0,0,0,"Νομική Μορφή Σφραγίδα Έδρα
1. Το Ινστιτούτο Κοινωνικής Προστασίας και Αλληλεγγύης (Ι.Κ.Π.Α.) που ιδρύθηκε με τις διατάξεις του άρθρου 
7 του ν. 3106/2003 και μετονομάστηκε με το του ν.3370/2005 αποτελεί Νομικό Πρόσωπο Δημοσίου 
Δικαίου (Ν.Π.Δ.Δ.), το οποίο τελεί υπό την εποπτεία και 
τον έλεγχο του Υπουργείου Υγείας και Κοινωνικής Αλληλεγγύης.",345,Non-RespA,ΝΟΜ ΜΟΡΦ ΣΦΡΑΓΙΔ ΕΔΡ 1. ΙΝΣΤΙΤΟΥΤ ΚΟΙΝΩΝ ΠΡΟΣΤΑΣ ΑΛΛΗΛΕΓΓΥ Ι.Κ.Π.Α. ΙΔΡΥΘ ΔΙΑΤΑΞ ΑΡΘΡ 7 Ν. 3106 2003 ΜΕΤΟΝΟΜΑΣΤ Ν.3370 2005 ΑΠΟΤΕΛ ΝΟΜ ΠΡΟΣΩΠ ΔΗΜΟΣ ΔΙΚΑΙ Ν.Π.Δ.Δ. ΤΕΛ ΕΠΟΠΤΕΙ ΕΛΕΓΧ ΥΠΟΥΡΓΕΙ ΥΓΕΙ ΚΟΙΝΩΝ ΑΛΛΗΛΕΓΓΥΗΣ.,214,27,171,50,0.2336448598,Org,6,2,4,18
1939,0,0,0,0,1,NoIdea,1,0,20080100086.pdf,0,2,14,4,1,3,0,2,Non-Org,10,0,0,0,0,1,0,"3. Το Ι.Κ.Π.Α. έχει στρογγυλή σφραγίδα, στην οποία 
αναγράφονται σε επάλληλους και ομόκεντρους κύκλους 
οι λέξεις: «ΕΛΛΗΝΙΚΗ ΔΗΜΟΚΡΑΤΙΑ – Υπουργείο Υγείας και Κοινωνικής Αλληλεγγύης – Ινστιτούτο Κοινωνικής Προστασίας και Αλληλεγγύης – Ν.Π.Δ.Δ.» και στο 
κέντρο φέρει το ΕΘΝΟΣΗΜΟ.",279,Non-RespA,3. Ι.Κ.Π.Α. ΣΤΡΟΓΓΥΛ ΣΦΡΑΓΙΔ ΑΝΑΓΡΑΦ ΕΠΑΛΛΗΛ ΟΜΟΚΕΝΤΡ ΚΥΚΛ ΛΕΞ ΕΛΛΗΝ ΔΗΜΟΚΡΑΤ ΥΠΟΥΡΓΕΙ ΥΓΕΙ ΚΟΙΝΩΝ ΑΛΛΗΛΕΓΓΥ ΙΝΣΤΙΤΟΥΤ ΚΟΙΝΩΝ ΠΡΟΣΤΑΣ ΑΛΛΗΛΕΓΓΥ Ν.Π.Δ.Δ. ΚΕΝΤΡ ΦΕΡ ΕΘΝΟΣΗΜΟ.,172,16,102,35,0.2034883721,Org,4,1,3,13
1940,0,0,0,0,2,NoIdea,0,0,20080100086.pdf,0,2,9,3,1,2,0,1,Non-Org,5,0,0,0,0,0,0,"Σκοπός 
Σκοπός του Ι.Κ.Π.Α. είναι η βοήθεια του Υπουργείου 
Υγείας και Κοινωνικής Αλληλεγγύης στη χάραξη πολιτικών στον τομέα της Πρόνοιας. Ειδικότερα το Ι.Κ.Π.Α.:",163,Non-RespA,ΣΚΟΠ ΣΚΟΠ Ι.Κ.Π.Α. ΒΟΗΘΕΙ ΥΠΟΥΡΓΕΙ ΥΓΕΙ ΚΟΙΝΩΝ ΑΛΛΗΛΕΓΓΥ ΧΑΡΑΞ ΠΟΛΙΤ ΤΟΜ ΠΡΟΝΟΙΑΣ. ΕΙΔΙΚ Ι.Κ.Π.Α.,97,17,94,19,0.1958762887,Org,3,1,2,9
1941,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,12,13,6,0,6,0,0,Non-Org,0,0,0,0,1,0,0,"β) Γνωμοδοτεί για κάθε θέμα πολιτικής που παραπέμπεται σε αυτό από το Υπουργείο Υγείας και Κοινωνικής Αλληλεγγύης και εισηγείται μέτρα για την πραγματοποίηση των προγραμματικών στόχων στον τομέα 
της κοινωνικής φροντίδας.",221,RespA,Β ΓΝΩΜΟΔΟΤ ΘΕΜ ΠΟΛΙΤ ΠΑΡΑΠΕΜΠ ΥΠΟΥΡΓΕΙ ΥΓΕΙ ΚΟΙΝΩΝ ΑΛΛΗΛΕΓΓΥ ΕΙΣΗΓΕΙΤΑ ΜΕΤΡ ΠΡΑΓΜΑΤΟΠΟΙΗΣ ΠΡΟΓΡΑΜΜΑΤ ΣΤΟΧ ΤΟΜ ΚΟΙΝΩΝ ΦΡΟΝΤΙΔΑΣ.,127,79,456,42,0.3307086614,RespA,6,0,6,4
1942,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,35,11,7,1,6,0,0,Non-Org,0,0,0,0,1,0,0,"ε) Εισηγείται στα αρμόδια όργανα, αναφορικά με προγράμματα επιμόρφωσης εκπαιδευτών εθελοντών, που 
πραγματοποιούνται από τις εθελοντικές οργανώσεις 
του άρθρου 12 του ν.2646/1998 και τα οποία είναι σχετικά με τους σκοπούς και τους στόχους των Εθνικών 
Προγραμμάτων.",265,RespA,Ε ΕΙΣΗΓΕΙΤΑ ΑΡΜΟΔ ΟΡΓΑΝ ΑΝΑΦΟΡ ΠΡΟΓΡΑΜΜ ΕΠΙΜΟΡΦΩΣ ΕΚΠΑΙΔΕΥΤ ΕΘΕΛΟΝΤ ΠΡΑΓΜΑΤΟΠΟ ΕΘΕΛΟΝΤ ΟΡΓΑΝΩΣ ΑΡΘΡ 12 Ν.2646 1998 ΣΧΕΤ ΣΚΟΠ ΣΤΟΧ ΕΘΝ ΠΡΟΓΡΑΜΜΑΤΩΝ.,147,117,873,55,0.3741496599,RespA,7,1,6,2
1943,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,9,11,5,1,4,0,0,Non-Org,0,0,0,0,1,0,0,"στ) Γνωμοδοτεί στα αρμόδια όργανα για το περιεχόμενο των Εθνικών Προγραμμάτων σύμφωνα με τις 
διατάξεις του άρθρου 2 του ν.2646/1998 και για την 
ανάπτυξη της έρευνας στον τομέα της κοινωνικής φροντίδας σύμφωνα με τις διατάξεις του άρθρου 16 του 
ίδιου νόμου.",259,RespA,ΣΤ ΓΝΩΜΟΔΟΤ ΑΡΜΟΔ ΟΡΓΑΝ ΠΕΡΙΕΧΟΜΕΝ ΕΘΝ ΠΡΟΓΡΑΜΜ ΣΥΜΦΩΝ ΔΙΑΤΑΞ ΑΡΘΡ 2 Ν.2646 1998 ΑΝΑΠΤΥΞ ΕΡΕΥΝ ΤΟΜ ΚΟΙΝΩΝ ΦΡΟΝΤΙΔ ΣΥΜΦΩΝ ΔΙΑΤΑΞ ΑΡΘΡ 16 ΙΔΙ ΝΟΜΟΥ.,146,33,234,41,0.2808219178,RespA,5,1,4,2
1944,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,15,18,10,1,9,0,0,Non-Org,0,0,0,0,1,0,0,"ζ) Μελετά, εκπονεί και εφαρμόζει εκπαιδευτικά προγράμματα στο χώρο της πρόνοιας και της οικοτεχνίας
η) Αναπτύσσει την επιστημονική έρευνα στο χώρο της 
πρόνοιας και εκτελεί ερευνητικά έργα στο πλαίσιο των 
προτεραιοτήτων της πολιτικής που καθορίζει το Υπουργείο Υγείας και Κοινωνικής Αλληλεγγύης.",296,RespA,Ζ ΜΕΛΕΤ ΕΚΠΟΝ ΕΦΑΡΜΟΖ ΕΚΠΑΙΔΕΥΤ ΠΡΟΓΡΑΜΜ ΧΩΡ ΠΡΟΝΟΙ ΟΙΚΟΤΕΧΝ ΑΝΑΠΤΥΣΣ ΕΠΙΣΤΗΜΟΝ ΕΡΕΥΝ ΧΩΡ ΠΡΟΝΟΙ ΕΚΤΕΛ ΕΡΕΥΝΗΤ ΕΡΓ ΠΛΑΙΣΙ ΠΡΟΤΕΡΑΙΟΤΗΤ ΠΟΛΙΤ ΚΑΘΟΡΙΖ ΥΠΟΥΡΓΕΙ ΥΓΕΙ ΚΟΙΝΩΝ ΑΛΛΗΛΕΓΓΥΗΣ.,182,131,811,76,0.4175824176,RespA,10,1,9,5
1945,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,3,8,3,0,3,0,0,Non-Org,0,0,0,0,1,0,0,"θ) Τηρεί το Εθνικό Μητρώο Υιοθεσιών και το Εθνικό Μητρώο Αναδόχων Ανηλίκων και διαφυλάσσει τον 
απόρρητο χαρακτήρα τους.",120,RespA,Θ ΤΗΡ ΕΘΝ ΜΗΤΡΩ ΥΙΟΘΕΣ ΕΘΝ ΜΗΤΡΩ ΑΝΑΔΟΧ ΑΝΗΛ ΔΙΑΦΥΛΑΣΣ ΑΠΟΡΡΗΤ ΧΑΡΑΚΤΗΡ ΤΟΥΣ.,77,20,115,18,0.2337662338,RespA,2,0,2,7
1946,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,7,14,5,1,4,0,2,Non-Org,16,0,0,0,1,0,0,"ι) Ασκεί τις αρμοδιότητες που ανήκαν στον Εθνικό 
Οργανισμό Κοινωνικής Φροντίδας (Ε.Ο.Κ.Φ.) σχετικά με 
την ταπητουργία, κιλιμοποιϊα, εργαστήρια και γενικά τις 
υπηρεσίες οικοτεχνίας του Εθνικού Οργανισμού Πρόνοιας (Ε.Ο.Π.), μαζί με τα παραρτήματά τους σε όλη τη 
χώρα, που παρέμειναν στην αρμοδιότητα του Ε.Ο.Κ.Φ., 
κατ’ εφαρμογή των διατάξεων της παρ. 1.γ του άρθρου 
7 του ν. 2646/1998.",389,RespA,Ι ΑΣΚ ΑΡΜΟΔΙΟΤΗΤ ΑΝ ΕΘΝ ΟΡΓΑΝΙΣΜ ΚΟΙΝΩΝ ΦΡΟΝΤΙΔ Ε.Ο.Κ.Φ. ΣΧΕΤ ΤΑΠΗΤΟΥΡΓ ΚΙΛΙΜΟΠΟΙΙ ΕΡΓΑΣΤΗΡ ΓΕΝΙΚ ΥΠΗΡΕΣ ΟΙΚΟΤΕΧΝ ΕΘΝ ΟΡΓΑΝΙΣΜ ΠΡΟΝΟΙ Ε.Ο.Π. ΠΑΡΑΡΤΗΜ ΧΩΡ ΠΑΡΕΜΕΙΝ ΑΡΜΟΔΙΟΤΗΤ Ε.Ο.Κ.Φ. ΕΦΑΡΜΟΓ ΔΙΑΤΑΞ ΠΑΡ. 1.Γ ΑΡΘΡ 7 Ν. 2646 1998.,227,19,173,45,0.1982378855,RespA,4,1,3,10
1947,0,0,0,1,2,NoIdea,0,0,20080100086.pdf,0,10,9,6,0,6,0,0,Non-Org,0,0,0,0,1,0,0,"ια) Αναλαμβάνει μελέτες αξιολόγησης, μετά από συνεργασία και με το Υπουργείο Υγείας και Κοινωνικής 
Αλληλεγγύης πολιτικών, εθνικών προγραμμάτων και καινοτόμων προγραμμάτων.",172,RespA,ΙΑ ΑΝΑΛΑΜΒΑΝ ΜΕΛΕΤ ΑΞΙΟΛΟΓΗΣ ΣΥΝΕΡΓΑΣ ΥΠΟΥΡΓΕΙ ΥΓΕΙ ΚΟΙΝΩΝ ΑΛΛΗΛΕΓΓΥ ΠΟΛΙΤ ΕΘΝ ΠΡΟΓΡΑΜΜ ΚΑΙΝΟΤΟΜ ΠΡΟΓΡΑΜΜΑΤΩΝ.,110,180,1291,43,0.3909090909,RespA,6,0,6,4
