Α,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
224,0,0,0,0,1,NoIdea,0,0,20080100070.pdf,0,2,18,9,6,3,0,1,Non-Org,8,0,0,0,0,0,0,"Σύσταση Διεύθυνσης
Συνιστάται στο Υπουργείο Πολιτισμού (ΥΠ.ΠΟ.) υπηρεσιακή μονάδα σε επίπεδο Διεύθυνσης, με τίτλο 
«Διεύ θυνση Τεκμηρίωσης και Προστασίας Πολιτιστικών 
Αγαθών», η οποία υπάγεται στη Γενική Διεύθυνση Αρχαιοτήτων και Πολιτιστικής Κληρονομιάς.",256,Non-RespA,ΣΥΣΤΑΣ ΔΙΕΥΘΥΝΣ ΣΥΝΙΣΤ ΥΠΟΥΡΓΕΙ ΠΟΛΙΤΙΣΜ ΥΠ.ΠΟ. ΥΠΗΡΕΣΙΑΚ ΜΟΝΑΔ ΕΠΙΠΕΔ ΔΙΕΥΘΥΝΣ ΤΙΤΛ ΔΙΕ ΘΥΝΣ ΤΕΚΜΗΡΙΩΣ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΥΠΑΓ ΓΕΝΙΚ ΔΙΕΥΘΥΝΣ ΑΡΧΑΙΟΤΗΤ ΠΟΛΙΤΙΣΤ ΚΛΗΡΟΝΟΜΙΑΣ.,177,57,611,114,0.6440677966,Irrelevant,9,6,3,16
225,0,0,0,0,2,NoIdea,0,0,20080100070.pdf,0,2,15,12,4,8,0,0,Non-Org,0,0,0,0,0,0,0,"Σκοπός
Σκοπός της Διεύθυνσης είναι η προστασία των πολιτιστικών αγαθών και η καταπολέμηση της αρχαιοκαπηλίας, ιδίως με την αναζήτηση, την τεκμηρίωση 
προέλευσης και διακίνησης και τη διεκδίκηση κινητών 
μνημείων, κατά την έννοια του ν. 3028/2002 (ΦΕΚ 153 Α΄), 
τα οποία είναι προϊόντα κλοπής, υπεξαίρεσης, παράνομης ανασκαφής ή ανέλκυσης (από το βυθό θάλασσας, 
λίμνης ή ποταμού) ή έχουν παρανόμως διακινηθεί στο 
εσωτερικό ή το εξωτερικό.",439,Non-RespA,ΣΚΟΠ ΣΚΟΠ ΔΙΕΥΘΥΝΣ ΠΡΟΣΤΑΣ ΠΟΛΙΤΙΣΤ ΑΓΑΘ ΚΑΤΑΠΟΛΕΜΗΣ ΑΡΧΑΙΟΚΑΠΗΛ ΙΔΙΩΣ ΑΝΑΖΗΤΗΣ ΤΕΚΜΗΡΙΩΣ ΠΡΟΕΛΕΥΣ ΔΙΑΚΙΝΗΣ ΔΙΕΚΔΙΚΗΣ ΚΙΝΗΤ ΜΝΗΜΕΙ ΕΝΝΟΙ Ν. 3028 2002 ΦΕΚ 153 Α ΠΡΟΙΟΝΤ ΚΛΟΠ ΥΠΕΞΑΙΡΕΣ ΠΑΡΑΝΟΜ ΑΝΑΣΚΑΦ ΑΝΕΛΚΥΣ ΒΥΘ ΘΑΛΑΣΣ ΛΙΜΝ ΠΟΤΑΜ ΠΑΡΑΝΟΜΩΣ ΔΙΑΚΙΝ ΕΣΩΤΕΡ ΕΞΩΤΕΡΙΚΟ.,263,86,714,115,0.4372623574,Irrelevant,12,4,8,4
226,0,0,0,0,3,NoIdea,0,0,20080100070.pdf,0,4,19,1,1,0,0,0,Non-Org,0,0,0,0,0,0,0,"Διάρθρωση και αρμοδιότητες
Η Διεύθυνση συγκροτείται από τα παρακάτω Τμήματα:",76,Non-RespA,ΔΙΑΡΘΡΩΣ ΑΡΜΟΔΙΟΤΗΤ ΔΙΕΥΘΥΝΣ ΣΥΓΚΡΟΤΕΙΤΑ ΠΑΡΑΚΑΤ ΤΜΗΜ,53,3,57,19,0.358490566,Irrelevant,1,1,0,3
227,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,6,17,9,6,3,0,1,Non-Org,8,0,0,1,0,0,0,"γ. στη συνδρομή προς τις αρμόδιες Υπηρεσίες του 
Υπουργείου Πολιτισμού για τη δικαστική διεκδίκηση στο 
εσωτερικό και εξωτερικό κινητών μνημείων, τα οποία 
έχουν κλαπεί ή υπεξαιρεθεί ή είναι προϊόντα παράνομης 
ανασκαφής ή έχουν παρανόμως ανελκυθεί ή διακινηθεί.",262,RespA,Γ. ΣΥΝΔΡΟΜ ΑΡΜΟΔ ΥΠΗΡΕΣ ΥΠΟΥΡΓΕΙ ΠΟΛΙΤΙΣΜ ΔΙΚΑΣΤ ΔΙΕΚΔΙΚΗΣ ΕΣΩΤΕΡ ΕΞΩΤΕΡ ΚΙΝΗΤ ΜΝΗΜΕΙ ΚΛΑΠ ΥΠΕΞΑΙΡΕΘ ΠΡΟΙΟΝΤ ΠΑΡΑΝΟΜ ΑΝΑΣΚΑΦ ΠΑΡΑΝΟΜΩΣ ΑΝΕΛΚΥΘ ΔΙΑΚΙΝΗΘΕΙ.,154,45,555,106,0.6883116883,RespA,9,6,3,3
228,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,6,17,9,6,3,0,1,Non-Org,8,0,0,1,0,0,0,"γ. στη συνδρομή προς τις αρμόδιες Υπηρεσίες του 
Υπουργείου Πολιτισμού για τη δικαστική διεκδίκηση 
στο εσωτερικό και το εξωτερικό κινητών μνημείων, τα 
οποία έχουν κλαπεί ή υπεξαιρεθεί ή είναι προϊόντα παράνομης ανασκαφής ή έχουν παρανόμως ανελκυθεί ή 
διακινηθεί.",265,RespA,Γ. ΣΥΝΔΡΟΜ ΑΡΜΟΔ ΥΠΗΡΕΣ ΥΠΟΥΡΓΕΙ ΠΟΛΙΤΙΣΜ ΔΙΚΑΣΤ ΔΙΕΚΔΙΚΗΣ ΕΣΩΤΕΡ ΕΞΩΤΕΡ ΚΙΝΗΤ ΜΝΗΜΕΙ ΚΛΑΠ ΥΠΕΞΑΙΡΕΘ ΠΡΟΙΟΝΤ ΠΑΡΑΝΟΜ ΑΝΑΣΚΑΦ ΠΑΡΑΝΟΜΩΣ ΑΝΕΛΚΥΘ ΔΙΑΚΙΝΗΘΕΙ.,154,45,555,106,0.6883116883,RespA,9,6,3,3
229,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,6,17,9,6,3,0,1,Non-Org,8,0,0,1,0,0,0,"γ. στη συνδρομή προς τις αρμόδιες Υπηρεσίες του 
Υπουργείου Πολιτισμού για τη δικαστική διεκδίκηση 
στο εσωτερικό και το εξωτερικό κινητών μνημείων που 
έχουν κλαπεί ή υπεξαιρεθεί ή είναι προϊόντα παράνομης 
ανασκαφής ή έχουν παρανόμως ανελκυθεί ή διακινηθεί.",259,RespA,Γ. ΣΥΝΔΡΟΜ ΑΡΜΟΔ ΥΠΗΡΕΣ ΥΠΟΥΡΓΕΙ ΠΟΛΙΤΙΣΜ ΔΙΚΑΣΤ ΔΙΕΚΔΙΚΗΣ ΕΣΩΤΕΡ ΕΞΩΤΕΡ ΚΙΝΗΤ ΜΝΗΜΕΙ ΚΛΑΠ ΥΠΕΞΑΙΡΕΘ ΠΡΟΙΟΝΤ ΠΑΡΑΝΟΜ ΑΝΑΣΚΑΦ ΠΑΡΑΝΟΜΩΣ ΑΝΕΛΚΥΘ ΔΙΑΚΙΝΗΘΕΙ.,154,45,555,106,0.6883116883,RespA,9,6,3,3
230,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,10,12,8,1,7,0,0,Non-Org,0,0,0,1,0,0,0,"γ. στην παρακολούθηση της διεθνούς αγοράς κινητών 
μνημείων, είτε μέσω Διαδικτύου, έντυπων καταλόγων 
αγοραπωλησιών, δημοπρασιών, εκθέσεων ή με κάθε 
άλλο πρόσφορο μέσο,",169,RespA,Γ. ΠΑΡΑΚΟΛΟΥΘΗΣ ΔΙΕΘΝ ΑΓΟΡ ΚΙΝΗΤ ΜΝΗΜΕΙ ΜΕΣ ΔΙΑΔΙΚΤΥ ΕΝΤΥΠ ΚΑΤΑΛΟΓ ΑΓΟΡΑΠΩΛΗΣ ΔΗΜΟΠΡΑΣ ΕΚΘΕΣ ΠΡΟΣΦΟΡ ΜΕΣ,104,113,1040,60,0.5769230769,RespA,8,1,7,1
231,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,0,12,7,0,7,0,2,Non-Org,11,0,0,1,0,0,0,"δ. στην παρακολούθηση νέων αποκτημάτων από μουσεία και άλλα νομικά ή φυσικά πρόσωπα του εξωτερικού 
και στη σύνταξη καταλόγων με ευρήματα ελληνικού 
ενδιαφέροντος σε αυτά,",171,RespA,Δ. ΠΑΡΑΚΟΛΟΥΘΗΣ ΝΕ ΑΠΟΚΤΗΜ ΜΟΥΣΕΙ ΝΟΜ ΦΥΣΙΚ ΠΡΟΣΩΠ ΕΞΩΤΕΡ ΣΥΝΤΑΞ ΚΑΤΑΛΟΓ ΕΥΡΗΜ ΕΛΛΗΝ ΕΝΔΙΑΦΕΡΟΝΤ,96,131,1161,53,0.5520833333,RespA,7,0,7,0
232,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,14,17,4,2,2,0,1,Non-Org,5,0,0,1,0,0,0,"ε. στην αναζήτηση κάθε στοιχείου, το οποίο μπορεί 
να συμβάλλει στην τεκμηρίωση απαιτήσεων του Ελληνικού Κράτους,",113,RespA,Ε. ΑΝΑΖΗΤΗΣ ΣΤΟΙΧΕΙ ΣΥΜΒΑΛΛ ΤΕΚΜΗΡΙΩΣ ΑΠΑΙΤΗΣ ΕΛΛΗΝ ΚΡΑΤ,56,14,134,45,0.8035714286,RespA,4,2,2,2
233,0,0,1,0,3,NoIdea,0,0,20080100070.pdf,0,7,18,5,4,1,0,3,Non-Org,15,0,0,1,0,0,0,"στ. στην παρακολούθηση και την ενημέρωση των 
Κεντρικών, Περιφερειακών και Ειδικών Περιφερειακών 
Υπηρεσιών του ΥΠ.ΠΟ. σχετικά με τις τρέχουσες τιμές 
των κινητών μνημείων στη διεθνή και ελληνική αγορά.",202,RespA,ΣΤ. ΠΑΡΑΚΟΛΟΥΘΗΣ ΕΝΗΜΕΡΩΣ ΚΕΝΤΡ ΠΕΡΙΦΕΡΕΙΑΚ ΕΙΔΙΚ ΠΕΡΙΦΕΡΕΙΑΚ ΥΠΗΡΕΣ ΥΠ.ΠΟ. ΣΧΕΤ ΤΡΕΧ ΤΙΜ ΚΙΝΗΤ ΜΝΗΜΕΙ ΔΙΕΘΝ ΕΛΛΗΝ ΑΓΟΡΑ.,121,75,938,73,0.6033057851,RespA,5,4,1,6
