RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
16 Ιουνίου 2021 ΤΕΥΧΟΣ   ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 107230 Έγκριση Νέου Οργανισμού Εσωτερικής Υπηρε-σίας του Δήμου Δωρίδος Ν. Φωκίδας. Ο ΣΥΝΤΟΝΙΣΤΗΣ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ ΘΕΣΣΑΛΙΑΣ - ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,Non-RespA
Έχοντας υπόψη:,Non-RespA
1. Τις διατάξεις:,Non-RespA
α) του ν. 3852/2010 «Νέα Αρχιτεκτονική της Αυτοδιοί-κησης και της Αποκεντρωμένης Διοίκησης - Πρόγραμμα Καλλικράτης» (Α’ 87) και ιδίως των άρθρων 1 [παρ. 48 (περ. Α2)] 6 63 97 98 214 225 238 254 257 258 266 και 280 β) του ν. 3584/2007 «Κώδικας Κατάστασης Δημοτικών και Κοινοτικών Υπαλλήλων» (Α’ 143) και ιδίως του άρ-θρου 10,Non-RespA
γ) του ν. 3469/2006 «Εθνικό Τυπογραφείο Εφημερίς της Κυβερνήσεως και λοιπές διατάξεις» (Α’ 131) και ιδίως της περ. θ της παρ. 2 του άρθρου 5 και της περ. β της παρ. 2 του άρθρου 7,Non-RespA
δ) του ν. 4325/2015 «Εκδημοκρατισμός της Διοίκησης - Καταπολέμηση Γραφειοκρατίας και Ηλεκτρονική Διακυ-βέρνηση. Αποκατάσταση αδικιών και άλλες διατάξεις» (Α’ 47) και ιδίως του άρθρου 28,Non-RespA
ε) του ν. 4368/2016 «Μέτρα για την επιτάχυνση του κυβερνητικού έργου και άλλες διατάξεις» (Α’ 21) και ιδίως του άρθρου 24 στ) του ν. 4479/2017 (Α΄94) «Τροποποιήσεις του ν. 2725/,Non-RespA
1999 (Α’ 121) και άλλες διατάξεις»,Non-RespA
