,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
1426,0,0,0,0,1,NoIdea,0,0,20080100001.pdf,0,3,7,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,Αποστολή του Ε.Κ.Δ.Δ.Α.,23,Non-RespA,ΑΠΟΣΤΟΛ Ε.Κ.Δ.Δ.Α.,18,5,35,7,0.3888888889,Org,1,0,1,1
1427,0,0,0,0,1,NoIdea,0,0,20080100001.pdf,0,3,17,19,8,11,0,7,Non-Org,42,0,0,0,0,0,0,"Αποστολή του Εθνικού Κέντρου Δημόσιας Διοίκησης 
και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.), το οποίο είναι νομικό 
πρόσωπο δημοσίου δικαίου, υπό την εποπτεία του 
Υπουργού Εσωτερικών, Δημόσιας Διοίκησης και Αποκέντρωσης (π.δ. 356/1997 – Α΄ 240), αποτελεί ο διαρκής 
εκσυγχρονισμός της οργάνωσης και λειτουργίας της 
Δημόσιας Διοίκησης, κεντρικής και περιφερειακής, του 
ευρύτερου δημόσιου τομέα και των φορέων της τοπικής 
αυτοδιοίκησης της α΄ και β΄ βαθμίδας, με την άσκηση 
στρατηγικών δράσεων ανάπτυξης του ανθρώπινου δυναμικού της, μελέτης των δομών και των διαδικασιών 
της, καθώς και της υποστήριξης μεταρρυθμιστικών προγραμμάτων των μέσων και μεθόδων της λειτουργίας 
της, κατά τα ειδικότερα οριζόμενα στο άρθρο 1 του π.δ.",718,Non-RespA,ΑΠΟΣΤΟΛ ΕΘΝ ΚΕΝΤΡ ΔΗΜΟΣ ΔΙΟΙΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣ Ε.Κ.Δ.Δ.Α. ΝΟΜ ΠΡΟΣΩΠ ΔΗΜΟΣ ΔΙΚΑΙ ΕΠΟΠΤΕΙ ΥΠΟΥΡΓ ΕΣΩΤΕΡ ΔΗΜΟΣ ΔΙΟΙΚΗΣ ΑΠΟΚΕΝΤΡΩΣ Π.Δ. 356 1997 Α 240 ΑΠΟΤΕΛ ΔΙΑΡΚ ΕΚΣΥΓΧΡΟΝΙΣΜ ΟΡΓΑΝΩΣ ΛΕΙΤΟΥΡΓ ΔΗΜΟΣ ΔΙΟΙΚΗΣ ΚΕΝΤΡ ΠΕΡΙΦΕΡΕΙΑΚ ΕΥΡ ΔΗΜΟΣ ΤΟΜ ΦΟΡ ΤΟΠ ΑΥΤΟΔΙΟΙΚΗΣ Α Β ΒΑΘΜΙΔ ΑΣΚΗΣ ΣΤΡΑΤΗΓ ΔΡΑΣ ΑΝΑΠΤΥΞ ΑΝΘΡΩΠΙΝ ΔΥΝΑΜ ΜΕΛΕΤ ΔΟΜ ΔΙΑΔΙΚΑΣ ΤΗΣ ΥΠΟΣΤΗΡΙΞ ΜΕΤΑΡΡΥΘΜΙΣΤ ΠΡΟΓΡΑΜΜ ΜΕΣ ΜΕΘΟΔ ΛΕΙΤΟΥΡΓ ΕΙΔΙΚ ΟΡΙΖΟΜΕΝ ΑΡΘΡ 1 Π.Δ.,407,218,1536,181,0.4447174447,Org,16,6,10,14
1428,0,0,0,0,1,NoIdea,0,0,20080100001.pdf,0,2,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,2007 (Α΄ 59/2007).,18,Non-RespA,2007 Α 59 2007 .,16,0,0,0,0,Org,0,0,0,1
1429,0,0,0,0,2,NoIdea,0,0,20080100001.pdf,0,2,15,5,5,0,0,1,Non-Org,8,0,0,0,0,0,0,"Όργανα Διοίκησης
Το Ε.Κ.Δ.Δ.Α. διοικείται από το Διοικητικό Συμβούλιο 
και τον Γενικό Γραμματέα του Ε.Κ.Δ.Δ.Α., σύμφωνα με 
τις εκάστοτε ισχύουσες διατάξεις, οι οποίες αφορούν 
στην δομή και λειτουργία του Ε.Κ.Δ.Δ.Α.",216,Non-RespA,ΟΡΓΑΝ ΔΙΟΙΚΗΣ Ε.Κ.Δ.Δ.Α. ΔΙΟΙΚΕΙΤΑ ΔΙΟΙΚΗΤ ΣΥΜΒΟΥΛ ΓΕΝΙΚ ΓΡΑΜΜΑΤ Ε.Κ.Δ.Δ.Α. ΣΥΜΦΩΝ ΕΚΑΣΤΟΤ ΙΣΧΥΟΥΣ ΔΙΑΤΑΞ ΑΦΟΡ ΔΟΜ ΛΕΙΤΟΥΡΓ Ε.Κ.Δ.Δ.Α.,134,20,287,71,0.5298507463,Org,5,5,0,9
1430,0,0,0,0,3,NoIdea,0,0,20080100001.pdf,0,2,13,2,1,1,0,1,Non-Org,5,0,0,0,0,0,0,"Διάρθρωση Υπηρεσιών
Η διάρθρωση των Υπηρεσιών του Εθνικού Κέντρου 
Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.) είναι 
η ακόλουθη:",135,Non-RespA,ΔΙΑΡΘΡΩΣ ΥΠΗΡΕΣ ΔΙΑΡΘΡΩΣ ΥΠΗΡΕΣ ΕΘΝ ΚΕΝΤΡ ΔΗΜΟΣ ΔΙΟΙΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣ Ε.Κ.Δ.Δ.Α. ΑΚΟΛΟΥΘ,86,5,59,24,0.2790697674,Org,2,1,1,9
1431,0,0,0,0,3,NoIdea,1,0,20080100001.pdf,0,2,0,0,0,0,0,0,Org,0,0,0,0,0,1,0,2. Διεύθυνση Διοικητικού.,25,Non-RespA,2. ΔΙΕΥΘΥΝΣ ΔΙΟΙΚΗΤΙΚΟΥ.,24,0,0,0,0,Org,0,0,0,1
1432,0,0,0,0,3,NoIdea,1,0,20080100001.pdf,0,2,0,0,0,0,0,0,Org,0,0,0,0,0,1,0,3. Διεύθυνση Οικονομικού.,25,Non-RespA,3. ΔΙΕΥΘΥΝΣ ΟΙΚΟΝΟΜΙΚΟΥ.,24,0,0,0,0,Org,0,0,0,1
1433,0,0,0,0,3,NoIdea,1,0,20080100001.pdf,0,2,0,0,0,0,0,0,Org,0,0,0,0,0,1,0,4. Νομική Υπηρεσία.,19,Non-RespA,4. ΝΟΜ ΥΠΗΡΕΣΙΑ.,16,0,0,0,0,Org,0,0,0,1
1434,0,0,0,0,3,NoIdea,1,0,20080100001.pdf,0,2,12,3,1,2,0,1,Non-Org,9,0,0,0,0,1,0,"5. Αυτοτελές Τμήμα Πιστοποίησης, Διαχείρισης Ποιό7. Αυτοτελές Γραφείο Ιατρών Υπηρεσίας.",87,Non-RespA,5. ΑΥΤΟΤΕΛ ΤΜΗΜ ΠΙΣΤΟΠΟΙΗΣ ΔΙΑΧΕΙΡΙΣ ΠΟΙΟ7. ΑΥΤΟΤΕΛ ΓΡΑΦΕΙ ΙΑΤΡ ΥΠΗΡΕΣΙΑΣ.,74,18,148,28,0.3783783784,Org,3,1,2,8
1435,0,0,0,0,3,NoIdea,1,0,20080100001.pdf,0,2,0,0,0,0,0,0,Org,0,0,0,0,0,1,0,8. Γραμματεία Διοίκησης.,24,Non-RespA,8. ΓΡΑΜΜΑΤΕΙ ΔΙΟΙΚΗΣΗΣ.,23,0,0,0,0,Org,0,0,0,1
