,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
3265,0,0,0,0,1,NoIdea,0,0,20080100058.pdf,0,5,9,23,0,23,0,11,Non-Org,67,0,0,0,0,0,0,"Ένταξη στον κλάδο σύνταξης 
Από την 1η του τέταρτου μήνα μετά το μήνα δημοσίευσης του παρόντος νόμου, το Ταμείο Συντάξεων 
Προσωπικού ΗΣΑΠ (ΤΣΠ ΗΣΑΠ), το Ταμείο Συντάξεων 
του Προσωπικού της Εθνικής Τραπέζης της Ελλάδος 
(ΤΣΠ ΕΤΕ) και το Ταμείο Συντάξεων Προσωπικού της 
Τραπέζης της Ελλάδος (ΤΣΠ ΤΕ), καθώς και οι κλάδοι 
σύνταξης του Ταμείου Ασφάλισης Προσωπικού Ασφαλιστικής Εταιρείας «Η ΕΘΝΙΚΗ» (ΤΑΠΑΕ Ε), του Ταμείου Ασφάλισης Προσωπικού ΟΤΕ (ΤΑΠ ΟΤΕ) και του 
Ταμείου Ασφάλισης Προσωπικού ΕΤΒΑ (ΤΑΠ ΕΤΒΑ) 
εντάσσονται στον κλάδο σύνταξης του ΙΚΑ ΕΤΑΜ.",557,Non-RespA,ΕΝΤΑΞ ΚΛΑΔ ΣΥΝΤΑΞ 1Η ΤΕΤΑΡΤ ΜΗΝ ΜΗΝ ΔΗΜΟΣΙΕΥΣ ΠΑΡΟΝΤ ΝΟΜ ΤΑΜΕΙ ΣΥΝΤΑΞ ΠΡΟΣΩΠ ΗΣΑΠ ΤΣΠ ΗΣΑΠ ΤΑΜΕΙ ΣΥΝΤΑΞ ΠΡΟΣΩΠ ΕΘΝ ΤΡΑΠΕΖ ΕΛΛΑΔ ΤΣΠ ΕΤ ΤΑΜΕΙ ΣΥΝΤΑΞ ΠΡΟΣΩΠ ΤΡΑΠΕΖ ΕΛΛΑΔ ΤΣΠ ΤΕ ΚΛΑΔ ΣΥΝΤΑΞ ΤΑΜΕΙ ΑΣΦΑΛΙΣ ΠΡΟΣΩΠ ΑΣΦΑΛΙΣΤ ΕΤΑΙΡΕΙ ΕΘΝ ΤΑΠΑ Ε ΤΑΜΕΙ ΑΣΦΑΛΙΣ ΠΡΟΣΩΠ ΟΤΕ ΤΑΠ ΟΤΕ ΤΑΜΕΙ ΑΣΦΑΛΙΣ ΠΡΟΣΩΠ ΕΤΒ ΤΑΠ ΕΤΒ ΕΝΤΑΣΣ ΚΛΑΔ ΣΥΝΤΑΞ ΙΚΑ ΕΤΑΜ.,330,89,518,128,0.3878787879,Org,9,0,9,45
3266,0,0,0,0,2,NoIdea,0,0,20080100058.pdf,0,5,7,10,0,10,0,3,Non-Org,18,0,0,0,0,0,0,"Όροι και προϋποθέσεις ένταξης
1. Από της εντάξεως των Ταμείων και κλάδων του 
άρθρου 1 όσοι προσλαμβάνονται σε εταιρίες και πιστωτικά ιδρύματα των οποίων το προσωπικό ασφαλιζόταν 
στα ανωτέρω Ταμεία και κλάδους σύνταξης, υπάγονται 
υποχρεωτικά και αυτοδίκαια στην ασφάλιση του ΙΚΑ ΕΤΑΜ και διέπονται από τη νομοθεσία του.",321,Non-RespA,ΟΡ ΠΡΟΥΠΟΘΕΣ ΕΝΤΑΞ 1. ΕΝΤΑΞ ΤΑΜΕΙ ΚΛΑΔ ΑΡΘΡ 1 ΠΡΟΣΛΑΜΒΑΝ ΕΤΑΙΡ ΠΙΣΤΩΤ ΙΔΡΥΜ ΠΡΟΣΩΠ ΑΣΦΑΛΙΖ ΤΑΜΕΙ ΚΛΑΔ ΣΥΝΤΑΞ ΥΠΑΓ ΥΠΟΧΡΕΩΤ ΑΥΤΟΔΙΚΑΙ ΑΣΦΑΛΙΣ ΙΚΑ ΕΤΑΜ ΔΙΕΠ ΝΟΜΟΘΕΣ ΤΟΥ.,167,103,592,51,0.3053892216,Org,7,0,7,5
3267,0,0,0,0,2,NoIdea,0,0,20080100058.pdf,0,5,13,12,2,10,0,1,Non-Org,7,0,0,0,0,0,0,"Οι ασφαλισμένοι των ανωτέρω Ταμείων και κλάδων 
σύνταξης, υπάγονται στην ασφάλιση του ΙΚΑ ΕΤΑΜ 
και εξακολουθούν να διέπονται, ως προς τις προϋποθέσεις συνταξιοδότησης και τον τρόπο υπολογισμού 
της σύνταξης, από τις διατάξεις της νομοθεσίας των 
εντασσόμενων Ταμείων και κλάδων, όπως ισχύουν με 
τις γενικές διατάξεις νόμων και τις διατάξεις του νόμου 
αυτού.",360,Non-RespA,ΟΙ ΑΣΦΑΛΙΣΜΕΝ ΤΑΜΕΙ ΚΛΑΔ ΣΥΝΤΑΞ ΥΠΑΓ ΑΣΦΑΛΙΣ ΙΚΑ ΕΤΑΜ ΕΞΑΚΟΛΟΥΘ ΔΙΕΠ ΠΡΟΥΠΟΘΕΣ ΣΥΝΤΑΞΙΟΔΟΤΗΣ ΤΡΟΠ ΥΠΟΛΟΓΙΣΜ ΣΥΝΤΑΞ ΔΙΑΤΑΞ ΝΟΜΟΘΕΣ ΕΝΤΑΣΣΟΜΕΝ ΤΑΜΕΙ ΚΛΑΔ ΙΣΧΥ ΓΕΝΙΚ ΔΙΑΤΑΞ ΝΟΜ ΔΙΑΤΑΞ ΝΟΜ ΑΥΤΟΥ.,191,99,643,84,0.4397905759,Org,8,1,7,4
3268,0,0,0,0,2,NoIdea,0,0,20080100058.pdf,0,0,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,Η διάταξη του δευτέρου εδαφίου της περ. ι΄ της παρ.,51,Non-RespA,Η ΔΙΑΤΑΞ ΔΕΥΤ ΕΔΑΦ ΠΕΡ. ΠΑΡ.,28,0,0,0,0,Org,0,0,0,0
3269,0,0,0,0,2,NoIdea,0,0,20080100058.pdf,0,8,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,11α του άρθρου 2 του ν. 3029/2002 (ΦΕΚ 160 Α΄) καταργείται από 1.1.2013.,72,Non-RespA,11Α ΑΡΘΡ 2 Ν. 3029 2002 ΦΕΚ 160 Α ΚΑΤΑΡΓΕΙΤΑ 1.1.2013.,54,0,0,0,0,Org,0,0,0,2
3270,0,0,0,0,2,NoIdea,1,0,20080100058.pdf,0,3,11,10,0,10,0,0,Org,0,0,0,0,0,1,0,"4. Πόροι του IKA ETAM είναι και οι προβλεπόμενες 
ασφαλιστικές εισφορές ασφαλισμένου και εργοδότη, τα 
έσοδα από κοινωνικούς πόρους, οι πρόσοδοι περιουσίας, η απόδοση των κεφαλαίων και των αποθεματικών, 
καθώς και κάθε άλλο έσοδο των Ταμείων και κλάδων 
που εντάσσονται.",270,RespA,4. ΠΟΡ IKA ETAM ΠΡΟΒΛΕΠΟΜΕΝ ΑΣΦΑΛΙΣΤ ΕΙΣΦΟΡ ΑΣΦΑΛΙΣΜΕΝ ΕΡΓΟΔΟΤ ΕΣΟΔ ΚΟΙΝΩΝ ΠΟΡ ΠΡΟΣΟΔ ΠΕΡΙΟΥΣ ΑΠΟΔΟΣ ΚΕΦΑΛΑΙ ΑΠΟΘΕΜΑΤ ΕΣΟΔ ΤΑΜΕΙ ΚΛΑΔ ΕΝΤΑΣΣΟΝΤΑΙ.,146,54,362,66,0.4520547945,RespA,9,0,9,3
3271,0,0,0,0,2,NoIdea,1,0,20080100058.pdf,0,4,14,9,2,7,0,1,Non-Org,7,0,0,0,0,1,0,"6. Με απόφαση του Υπουργού Απασχόλησης και Κοινωνικής Προστασίας, αν η κινητή και ακίνητη περιουσία 
962 
ΕΦΗΜΕΡΙΣ ΤΗΣ ΚΥΒΕΡΝΗΣΕΩΣ (ΤΕΥΧΟΣ ΠΡΩΤΟ) 
των Φορέων Κοινωνικής Ασφάλισης από τους οποίους 
προέρχονται οι εντασσόμενοι κλάδοι δεν είναι κατανεμημένη κατά κλάδους, κατανέμεται κατά την αναλογία 
του ποσοστού εισφορών, που προβλέπεται για κάθε 
κλάδο πριν την ένταξή του στο διάδοχο φορέα.",393,RespA,6. ΑΠΟΦΑΣ ΥΠΟΥΡΓ ΑΠΑΣΧΟΛΗΣ ΚΟΙΝΩΝ ΠΡΟΣΤΑΣ ΚΙΝΗΤ ΑΚΙΝΗΤ ΠΕΡΙΟΥΣ 962 ΕΦΗΜΕΡΙΣ ΚΥΒΕΡΝΗΣ ΤΕΥΧ ΠΡΩΤ ΦΟΡ ΚΟΙΝΩΝ ΑΣΦΑΛΙΣ ΠΡΟΕΡΧ ΕΝΤΑΣΣΟΜΕΝ ΚΛΑΔ ΔΕΝ ΚΑΤΑΝΕΜΗΜΕΝ ΚΛΑΔ ΚΑΤΑΝΕΜ ΑΝΑΛΟΓ ΠΟΣΟΣΤ ΕΙΣΦΟΡ ΠΡΟΒΛΕΠ ΚΛΑΔ ΕΝΤΑΞ ΔΙΑΔΟΧ ΦΟΡΕΑ.,219,35,239,65,0.296803653,RespA,7,2,5,12
3272,0,0,0,0,2,NoIdea,1,0,20080100058.pdf,0,4,7,6,0,6,0,3,Non-Org,19,0,0,0,0,1,0,"7. Οι μετοχές του ΤΑΠ ΟΤΕ επί του μετοχικού κεφαλαίου της Εταιρίας Διαχείρισης Ειδικού Κεφαλαίου 
ΤΑΠ ΟΤΕ ΑΕ (ΕΔΕΚΤ ΟΤΕ ΑΕ) του άρθρου 12 του 
ν. 2768/1999 (ΦΕΚ 273 Α΄) περιέρχονται αυτοδικαίως στο 
ΙΚΑ ΕΤΑΜ από της εντάξεως του κλάδου σύνταξης του 
ΤΑΠ ΟΤΕ στο ΙΚΑ ΕΤΑΜ ως καθολικού διαδόχου.",293,RespA,7. ΜΕΤΟΧ ΤΑΠ ΟΤΕ ΜΕΤΟΧ ΚΕΦΑΛΑΙ ΕΤΑΙΡ ΔΙΑΧΕΙΡΙΣ ΕΙΔΙΚ ΚΕΦΑΛΑΙ ΤΑΠ ΟΤΕ ΑΕ ΕΔΕΚΤ ΟΤΕ ΑΕ ΑΡΘΡ 12 Ν. 2768 1999 ΦΕΚ 273 Α ΠΕΡΙΕΡΧ ΑΥΤΟΔΙΚΑΙΩΣ ΙΚΑ ΕΤΑΜ ΕΝΤΑΞ ΚΛΑΔ ΣΥΝΤΑΞ ΤΑΠ ΟΤΕ ΙΚΑ ΕΤΑΜ ΚΑΘΟΛ ΔΙΑΔΟΧΟΥ.,195,56,315,34,0.1743589744,RespA,5,0,5,20
3273,0,0,0,0,2,NoIdea,0,0,20080100058.pdf,0,17,5,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,"Οι διατάξεις της παρ. 12 του άρθρου 5 του ν. 3029/2002 
εφαρμόζονται από της εντάξεως του ΤΑΠ ΟΤΕ στο 
ΙΚΑ ΕΤΑΜ.",112,RespA,ΟΙ ΔΙΑΤΑΞ ΠΑΡ. 12 ΑΡΘΡ 5 Ν. 3029 2002 ΕΦΑΡΜΟΖ ΕΝΤΑΞ ΤΑΠ ΟΤΕ ΙΚΑ ΕΤΑΜ.,69,8,40,5,0.07246376812,RespA,1,0,1,4
3274,0,0,0,0,2,NoIdea,0,0,20080100058.pdf,0,14,5,1,0,1,0,1,Non-Org,5,0,0,0,0,0,0,"Η περίπτωση β΄ της παρ. 4 του άρθρου πρώτου του 
καταστατικού της εταιρίας ΕΔΕΚΤ ΟΤΕ ΑΕ του άρθρου 
12 του ν. 2768/1999 αντικαθίσταται ως εξής:",143,RespA,Η ΠΕΡΙΠΤΩΣ Β ΠΑΡ. 4 ΑΡΘΡ ΠΡΩΤ ΚΑΤΑΣΤΑΤ ΕΤΑΙΡ ΕΔΕΚΤ ΟΤΕ ΑΕ ΑΡΘΡ 12 Ν. 2768 1999 ΑΝΤΙΚΑΘΙΣΤ,89,3,15,5,0.05617977528,RespA,1,0,1,3
