RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
9 Φεβρουαρίου 2022 ΤΕΥΧΟΣ     ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 490 Αντικατάσταση Εσωτερικού Κανονισμού Λει-τουργίας του Πανεπιστημιακού Ερευνητικού Κέ-ντρου του Ιονίου Πανεπιστημίου.,Non-RespA
Η ΣΥΓΚΛΗΤΟΣ ΤΟΥ ΙΟΝΙΟΥ ΠΑΝΕΠΙΣΤΗΜΙΟΥ  Έχοντας υπόψη:,Non-RespA
1. To π.δ. 83/1984 «Ίδρυση Πανεπιστημίου Αιγαίου Ιονίου Πανεπιστημίου και Πανεπιστημίου Θεσσαλίας» (Α’  31).,Non-RespA
2. Τις διατάξεις του άρθρου 1 του ν. 3255/2004 «Ίδρυση Τμημάτων σε Πανεπιστήμια» (Α’ 138).,Non-RespA
3. To π.δ. 79/2013 «Ίδρυση Σχολών κατάργηση Τμή-ματος μετονομασία Τμήματος συγχώνευση ειδικεύσεων στο Ιόνιο Πανεπιστήμιο» (Α’ 119).,Non-RespA
4. Τις διατάξεις του άρθρου 14 του ν. 4559/2018 «Πα-νεπιστήμιο Ιωαννίνων Ιόνιο Πανεπιστήμιο και άλλες δια-τάξεις» (Α’ 142) όπως αυτό τροποποιήθηκε και συμπλη-ρώθηκε με την παρ. 7 του άρθρου 68 του ν. 4610/2019.,Non-RespA
5. Την υπό στοιχεία 159130/Ζ1/20.11.2020 απόφαση του Υφυπουργού Παιδείας και Θρησκευμάτων περί με-τονομασίας της Σχολής Ιστορίας και Μετάφρασης-Διερ-μηνείας του Ι.Π. (Β’ 5312).,Non-RespA
6. Τις διατάξεις της παρ. 2 του άρθρου 5 του ν. 3469/ 2006 «Εθνικό Τυπογραφείο Εφημερίς της Κυβερνήσεως και λοιπές διατάξεις» (Α’ 131).,Non-RespA
7. Τις διατάξεις του ν. 4485/2017 «Οργάνωση και λει-τουργία της ανώτατης εκπαίδευσης ρυθμίσεις για την έρευνα και άλλες διατάξεις» (Α’ 114).,Non-RespA
