,AlphaBulletCapDot,AlphaBulletCapPar,AlphaBulletDot,AlphaBulletPar,ArticleNo,Class,DigitBulletDot,DigitBulletPar,Filename,FirstPatternOffset,FirstWordInCapitalOffset,LongestMatchingPattern,MatchedPatternsCount,MatchingBigrams,MatchingUnigrams,OrgMatchingBigrams,OrgMatchingUnigrams,OrgPrediction,OrgTotalMatchingCharacters,PrevAlphaBulletCapDot,PrevAlphaBulletCapPar,PrevAlphaBulletDot,PrevAlphaBulletPar,PrevDigitBulletDot,PrevDigitBulletPar,RawParagraph,RawParagraphLength,RespAPrediction,StemmedParagraph,StemmedParagraphLength,SumMatchingEntries,SumMatchingEntriesLength,TotalMatchingCharacters,TotalMatchingRatio,TotalPrediction,UnqMatchedPatternsCount,UnqMatchingBigrams,UnqMatchingUnigrams,WordsInCapital
604,0,0,0,0,1,NoIdea,0,0,20080100036.pdf,0,4,17,6,3,3,0,0,Non-Org,0,0,0,0,0,0,0,"Νέο περιεχόμενο της Σύμβασης
Η «Σύμβαση COTIF 1980» τροποποιείται σύμφωνα με τα 
κείμενα που ακολουθούν και αποτελούν αναπόσπαστο 
τμήμα του παρόντος Πρωτοκόλλου.",162,RespA,ΝΕ ΠΕΡΙΕΧΟΜΕΝ ΣΥΜΒΑΣ ΣΥΜΒΑΣ COTIF 1980 ΤΡΟΠΟΠΟΙΕΙΤΑ ΣΥΜΦΩΝ ΚΕΙΜΕΝ ΑΚΟΛΟΥΘ ΑΠΟΤΕΛ ΑΝΑΠΟΣΠΑΣΤ ΤΜΗΜ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛΟΥ.,116,34,310,67,0.5775862069,RespA,5,3,2,5
605,,0,0,0,2,NoIdea,0,0,20080100036.pdf,0,2,14,7,1,6,0,0,Non-Org,0,0,0,0,0,0,0,"Προσωρινός Θεματοφύλακας
1. Τα καθήκοντα της Κυβέρνησης Θεματοφύλακα, που 
προβλέπονται στις διατάξεις των άρθρων 22 έως 26 της 
Σύμβασης COTIF 1980, τα αναλαμβάνει ο OTIF, ως προσωρινός Θεματοφύλακας, από την έναρξη υπογραφής 
του παρόντος Πρωτοκόλλου και μέχρι την ημερομηνία 
θέσης του σε ισχύ.",297,RespA,ΠΡΟΣΩΡΙΝ ΘΕΜΑΤΟΦΥΛΑΚ 1. ΚΑΘΗΚΟΝΤ ΚΥΒΕΡΝΗΣ ΘΕΜΑΤΟΦΥΛΑΚ ΠΡΟΒΛΕΠ ΔΙΑΤΑΞ ΑΡΘΡ 22 26 ΣΥΜΒΑΣ COTIF 1980 ΑΝΑΛΑΜΒΑΝ OTIF ΠΡΟΣΩΡΙΝ ΘΕΜΑΤΟΦΥΛΑΚ ΕΝΑΡΞ ΥΠΟΓΡΑΦ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛ ΗΜΕΡΟΜΗΝ ΘΕΣ ΙΣΧΥ.,183,61,469,61,0.3333333333,RespA,7,1,6,9
606,0,0,0,0,3,NoIdea,0,0,20080100036.pdf,0,2,9,2,0,2,0,0,Non-Org,0,0,0,0,0,0,0,"Προσχώρηση
1. Το παρόν Πρωτόκολλο παραμένει ανοιχτό προς υπογραφή από τα Κράτη Μέλη μέχρι τις 31 Δεκεμβρίου 1999.",113,RespA,ΠΡΟΣΧΩΡΗΣ 1. ΠΑΡΟΝ ΠΡΩΤΟΚΟΛΛ ΠΑΡΑΜΕΝ ΑΝΟΙΧΤ ΥΠΟΓΡΑΦ ΚΡΑΤ ΜΕΛ 31 ΔΕΚΕΜΒΡ 1999.,77,30,242,16,0.2077922078,RespA,2,0,2,5
607,0,0,0,0,3,NoIdea,0,0,20080100036.pdf,0,7,7,2,0,2,0,0,Non-Org,0,0,0,0,0,0,0,"Αυτή η υπογραφή λαμβάνει χώρα στη Βέρνη ενώπιον 
του προσωρινού Θεματοφύλακα.",77,RespA,ΑΥΤ ΥΠΟΓΡΑΦ ΛΑΜΒΑΝ ΧΩΡ ΒΕΡΝ ΕΝΩΠ ΠΡΟΣΩΡΙΝ ΘΕΜΑΤΟΦΥΛΑΚΑ.,55,18,122,13,0.2363636364,RespA,2,0,2,2
608,0,0,0,0,3,NoIdea,1,0,20080100036.pdf,0,2,11,4,0,4,0,0,Org,0,0,0,0,0,1,0,"3. Τα Κράτη μέλη που δεν υπέγραψαν το παρόν Πρωτόκολλο εντός της προβλεπόμενης προθεσμίας στην 
παρ. 1 του παρόντος άρθρου, καθώς και τα Κράτη των 
οποίων η αίτηση προσχώρησης στη «Σύμβαση COTIF 
1980» έγινε πλήρως αποδεκτή σύμφωνα με τις διατάξεις 
της παρ. 2 του άρθρου 23 αυτής, δύνανται, πριν από τη 
θέση σε ισχύ του παρόντος Πρωτοκόλλου, να προσχωρήσουν σ’αυτό καταθέτοντας ένα έγγραφο προσχώρησης ενώπιον του προσωρινού Θεματοφύλακα.",440,Non-RespA,3. ΚΡΑΤ ΜΕΛ ΔΕΝ ΥΠΕΓΡΑΨ ΠΑΡΟΝ ΠΡΩΤΟΚΟΛΛ ΠΡΟΒΛΕΠΟΜΕΝ ΠΡΟΘΕΣΜ ΠΑΡ. 1 ΠΑΡΟΝΤ ΑΡΘΡ ΚΡΑΤ ΑΙΤΗΣ ΠΡΟΣΧΩΡΗΣ ΣΥΜΒΑΣ COTIF 1980 ΕΓΙΝ ΠΛΗΡΩΣ ΑΠΟΔΕΚΤ ΣΥΜΦΩΝ ΔΙΑΤΑΞ ΠΑΡ. 2 ΑΡΘΡ 23 ΔΥΝΑΝΤΑ ΘΕΣ ΙΣΧ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛ ΠΡΟΣΧΩΡ Σ ΚΑΤΑΘΕΤ ΕΓΓΡΑΦ ΠΡΟΣΧΩΡΗΣ ΕΝΩΠ ΠΡΟΣΩΡΙΝ ΘΕΜΑΤΟΦΥΛΑΚΑ.,262,39,307,35,0.1335877863,Org,3,0,3,7
609,0,0,0,0,3,NoIdea,1,0,20080100036.pdf,0,4,17,10,2,8,0,0,Org,0,0,0,0,0,1,0,"4. Η προσχώρηση ενός Κράτους στη «Σύμβαση COTIF 
1980» σύμφωνα με τις διατάξεις του άρθρου 23 αυτής, 
του οποίου η αίτηση έγινε μετά την έναρξη υπογραφής 
του παρόντος Πρωτοκόλλου αλλά πριν από τη θέση του 
σε ισχύ, ισχύει τόσο για τη Σύμβαση COTIF 1960 όσο και 
για τη Σύμβαση της οποίας το κείμενο ακολουθεί στο 
Παράρτημα που αποτελεί αναπόσπαστο τμήμα του παρόντος Πρωτοκόλλου και που στο εξής θα αποκαλείται 
«Σύμβαση COTIF 1999».",435,Non-RespA,4. ΠΡΟΣΧΩΡΗΣ ΚΡΑΤ ΣΥΜΒΑΣ COTIF 1980 ΣΥΜΦΩΝ ΔΙΑΤΑΞ ΑΡΘΡ 23 ΑΙΤΗΣ ΕΓΙΝ ΕΝΑΡΞ ΥΠΟΓΡΑΦ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛ ΘΕΣ ΙΣΧ ΙΣΧΥ ΣΥΜΒΑΣ COTIF 1960 ΣΥΜΒΑΣ ΚΕΙΜΕΝ ΑΚΟΛΟΥΘ ΠΑΡΑΡΤΗΜ ΑΠΟΤΕΛ ΑΝΑΠΟΣΠΑΣΤ ΤΜΗΜ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛ ΑΠΟΚΑΛΕΙΤΑ ΣΥΜΒΑΣ COTIF 1999 .,232,71,528,87,0.375,Org,6,2,4,11
610,0,0,0,0,4,NoIdea,0,0,20080100036.pdf,0,4,9,4,0,4,0,0,Non-Org,0,0,0,0,0,0,0,"Θέση σε ισχύ
1. Το παρόν Πρωτόκολλο τίθεται σε ισχύ την πρώτη 
ημέρα του τρίτου μήνα που ακολουθεί αυτόν στη διάρκεια του οποίου ο προσωρινός Θεματοφύλακας θα 
έχει κοινοποιήσει στα Κράτη μέλη την κατάθεση του 
εγγράφου με το οποίο πληρούνται οι όροι της παρ. 2 
του άρθρου 20 της «Σύμβασης COTIF 1980».",303,Non-RespA,ΘΕΣ ΙΣΧ 1. ΠΑΡΟΝ ΠΡΩΤΟΚΟΛΛ ΤΙΘ ΙΣΧ ΠΡΩΤ ΗΜΕΡ ΤΡΙΤ ΜΗΝ ΑΚΟΛΟΥΘ ΔΙΑΡΚΕΙ ΠΡΟΣΩΡΙΝ ΘΕΜΑΤΟΦΥΛΑΚ ΚΟΙΝΟΠΟΙ ΚΡΑΤ ΜΕΛ ΚΑΤΑΘΕΣ ΕΓΓΡΑΦ ΠΛΗΡ ΟΡ ΠΑΡ. 2 ΑΡΘΡ 20 ΣΥΜΒΑΣ COTIF 1980 .,166,41,289,26,0.156626506,Org,4,0,4,6
611,0,0,0,0,4,NoIdea,0,0,20080100036.pdf,0,2,6,1,0,1,0,0,Non-Org,0,0,0,0,0,0,0,"Ως Κράτη μέλη υπό την έννοια της παρ. 2 του άρθρου 
20 της «Σύμβασης COTIF 1980», θεωρούνται τα Κράτη 
τα οποία, κατά τη στιγμή της απόφασης της 5ης Γενικής 
Συνέλευσης, ήταν Κράτη Μέλη και τα οποία είναι ακόμη 
μέλη κατά τη στιγμή που πληρούνται οι προϋποθέσεις 
για τη θέση σε ισχύ του παρόντος Πρωτοκόλλου.",309,Non-RespA,ΩΣ ΚΡΑΤ ΜΕΛ ΕΝΝΟΙ ΠΑΡ. 2 ΑΡΘΡ 20 ΣΥΜΒΑΣ COTIF 1980 ΘΕΩΡ ΚΡΑΤ ΣΤΙΓΜ ΑΠΟΦΑΣ 5ΗΣ ΓΕΝΙΚ ΣΥΝΕΛΕΥΣ ΚΡΑΤ ΜΕΛ ΜΕΛ ΣΤΙΓΜ ΠΛΗΡ ΠΡΟΥΠΟΘΕΣ ΘΕΣ ΙΣΧ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛΟΥ.,154,18,108,6,0.03896103896,Org,1,0,1,9
612,0,0,0,0,5,NoIdea,0,0,20080100036.pdf,0,4,17,8,3,5,0,2,Non-Org,10,0,0,0,0,0,0,"Δηλώσεις και επιφυλάξεις
Οι δηλώσεις και επιφυλάξεις, που προβλέπονται στις 
διατάξεις της παρ. 1 του άρθρου 42 της «Σύμβασης 
464 
ΕΦΗΜΕΡΙΣ ΤΗΣ ΚΥΒΕΡΝΗΣΕΩΣ (ΤΕΥΧΟΣ ΠΡΩΤΟ) 
COTIF 1999», της οποίας το κείμενο ακολουθεί στο Παράρτημα που αποτελεί αναπόσπαστο τμήμα του παρόντος Πρωτοκόλλου, μπορούν να εκφραστούν ή να 
διατυπωθούν ανά πάσα στιγμή, ακόμη και πριν από τη 
θέση σε ισχύ του παρόντος Πρωτοκόλλου.",407,Non-RespA,ΔΗΛΩΣ ΕΠΙΦΥΛΑΞ ΔΗΛΩΣ ΕΠΙΦΥΛΑΞ ΠΡΟΒΛΕΠ ΔΙΑΤΑΞ ΠΑΡ. 1 ΑΡΘΡ 42 ΣΥΜΒΑΣ 464 ΕΦΗΜΕΡΙΣ ΚΥΒΕΡΝΗΣ ΤΕΥΧ ΠΡΩΤ COTIF 1999 ΚΕΙΜΕΝ ΑΚΟΛΟΥΘ ΠΑΡΑΡΤΗΜ ΑΠΟΤΕΛ ΑΝΑΠΟΣΠΑΣΤ ΤΜΗΜ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛ ΕΚΦΡΑΣΤ ΔΙΑΤΥΠΩΘ ΠΑΣ ΣΤΙΓΜ ΘΕΣ ΙΣΧ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛΟΥ.,228,62,482,83,0.3640350877,Org,7,3,4,11
613,0,0,0,0,5,NoIdea,0,0,20080100036.pdf,0,13,0,0,0,0,0,0,Non-Org,0,0,0,0,0,0,0,"Αυτές αρχίζουν να ισχύουν από τη στιγμή θέσης σε 
ισχύ του παρόντος Πρωτοκόλλου.",80,Non-RespA,ΑΥΤ ΑΡΧΙΖ ΙΣΧΥ ΣΤΙΓΜ ΘΕΣ ΙΣΧ ΠΑΡΟΝΤ ΠΡΩΤΟΚΟΛΛΟΥ.,48,0,0,0,0,Org,0,0,0,1
